"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"User and Robot Personality Interactions in Parasocial Presence and Intention to Use Social Robots","F. Montalvo; P. Thai; P. Stephens; L. Jones; D. McConnell; J. Smither","Department of Psychology, University of Central Florida, Orlando, United States; Department of Psychology, University of Central Florida, Orlando, United States; Department of Psychology, University of Central Florida, Orlando, United States; Department of Health Sciences, University of Central Florida, Orlando, United States; Department of Psychology, University of Central Florida, Orlando, United States; Department of Psychology, University of Central Florida, Orlando, United States","2022 IEEE 3rd International Conference on Human-Machine Systems (ICHMS)","19 Dec 2022","2022","","","1","3","The present research explores how the relationship between a user’s personality and the perceived personality of a social robot influences the relationship of parasocial presence, para-friendship, and intention to use a social robot. Specifically, the research examines how continued use of a social robot is related to the interaction of user and perceived robot personality through the mediating role of parasocial presence. Participants interacted with a social robot in a semi-structured interaction and provided ratings of parasocial presence, robot personality, and use intention. Although parasocial presence and para-friendship aspects the interaction predicted intention to use the robot, personality similarity at the profile level did not impact this relationship.","","978-1-6654-5238-0","10.1109/ICHMS56717.2022.9980632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980632","Social Robots;Parasocial Presence;Parasocial Friendship;Use Intention;Personality;Human-Robot Interaction","Social robots;Man-machine systems","human-robot interaction;social robots","para-friendship aspects;parasocial presence;perceived robot personality;robot personality interactions;semi-structured interaction;social robot;user's personality","","","","13","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Robots for Learning - R4L: Adaptive Learning","W. Johal; A. Sandygulova; J. de Wit; M. de Haas; B. Scassellati","CHILI - LSRO Lab, Ècole Fédérale Polytechnique, Lausanne, Switzerland; School of Science and Technology, Nazarbayev University, Astana, Kazakhstan; Department of Communication and Cognition, Tilburg University, Tilburg, Netherlands; Department of Cognitive Science and Artificial Intelligence, Tilburg University, Tilburg, Netherlands; Social Robotics Lab, Yale University, New Haven, USA","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","693","694","The Robots for Learning workshop series aims at advancing the research topics related to the use of social robots in educational contexts. This year's half-day workshop follows on previous events in Human-Robot Interaction conferences focusing on efforts to design, develop and test new robotics systems that help learners. This 5th edition of the workshop will be dealing in particular on the potential use of robots for adaptive learning. Since the past few years, inclusive education have been a key policy in a number of countries, aiming to provide equal changes and common ground to all. In this workshop, we aim to discuss strategies to design robotics system able to adapt to the learners' abilities, to provide assistance and to demonstrate long-term learning effects.","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673109","learning;education;social robots;human-robot interaction","Robots;Conferences;Human-robot interaction;Adaptive learning;Cognitive science;Adaptive systems","computer aided instruction;educational robots;human-robot interaction","adaptive learning;social robots;educational contexts;robotics system;inclusive education;long-term learning effects;human-robot interaction conferences;robots for learning;R4L","","1","","4","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"Similarity Attraction for Robot's Dialect in Language Learning Using Social Robots","A. Pazylbekov; D. Kalym; A. Otynshin; A. Sandygulova","Nazarbayev University, Astana, Kazakhstan; Nazarbayev University, Astana, Kazakhstan; Nazarbayev University, Astana, Kazakhstan; Nazarbayev University, Astana, Kazakhstan","2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","25 Mar 2019","2019","","","532","533","The gradual transition towards the Kazakh language in the Republic of Kazakhstan raises the emergence of applying new technologies for learning the language. Considering the fact that the Kazakh language has dialectal forms, it is important to investigate how these language features would affect the interaction with the synthesized speech of a robot or a computer program. This paper presents a preliminary study exploring the effect of dialectal language on the human-robot interaction in an education-oriented environment. Participants were involved in the interaction with two different robots with pre-programmed language dialectal patterns - South and non-South, to learn new vocabulary. Findings show that there is a low significance in correlation, however, it is suggested that a small sample size led to the obtained results.","2167-2148","978-1-5386-8555-6","10.1109/HRI.2019.8673232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673232","language learning;education;social robots;human-robot interaction","Robots;Human-robot interaction;Education;Correlation;Animals;Vocabulary;Indexes","human-robot interaction;speech synthesis","social robots;Kazakh language;human-robot interaction;computer programming;pre-programmed language dialectal patterns;Republic of Kazakhstan;dialectal language learning effect;education-oriented environment;speech synthesis","","1","","8","IEEE","25 Mar 2019","","","IEEE","IEEE Conferences"
"Human-Robot Co-Teaching in Online University Course during Covid-19","A. M. Velentza; I. Lefkos; N. Fachantidis","School of Educational & Social Policy, University of Macedonia, Thessaloniki, Greece; School of Educational & Social Policy, University of Macedonia, Thessaloniki, Greece; School of Educational & Social Policy, University of Macedonia, Thessaloniki, Greece","2022 13th International Conference on Information, Intelligence, Systems & Applications (IISA)","30 Sep 2022","2022","","","1","6","Online lectures are extensively used in the academic area. Especially due to the Covid-19 lockdown restriction measures, the educational institutions were forced to conduct online classes. Consequently, it is important to determine how these classes can become more enjoyable while at the same time delivering the academic objectives to the students and how academic tutors can optimally interact with students. This paper specifically looks at the performance of social robots in place of university co-tutors, in the field of engineering, measuring the students’ enjoyment and understanding of the basic principles of the lecture’s content. Inspired by previous educational studies which have evidenced beneficial effects for both students and tutors after taught/conducting lectures with two collaborative tutors, the goal of this research is a) to test the students’ evaluation of two collaborative human tutors in comparison with one individual human when teaching academic lectures during online lectures, and b) to investigate the effect of a social robot co-tutor after comparing students understanding and level of enjoyment after attending a lecture given by human-human or human-robot co-tutors. The lectures took place via an online educational platform during an actual university course. Results indicated that students evaluated higher the co-tutor lectures in comparison with the individual tutor lectures, while they equally enjoyed and gained knowledge from both human-human and human-robot cotutored lectures.","","978-1-6654-6390-4","10.1109/IISA56318.2022.9904335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904335","social robots;education;co-teacher;co-tutor;human robot interaction;online course","COVID-19;Force measurement;Social robots;Education;Collaboration","computer aided instruction;educational courses;educational institutions;further education;human-robot interaction;intelligent tutoring systems;teaching","online lectures;Covid-19 lockdown restriction measures;educational institutions;online classes;academic objectives;academic tutors;university co-tutors;lecture content;collaborative human tutors;social robot co-tutor;human-robot co-tutors;online educational platform;co-tutor lectures;human-robot cotutored lectures;online university course;human-robot co-teaching;student interaction;academic lecture teaching","","","","40","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Social Robot to teach coding in primary school","R. Lanzilotti; A. Piccinno; V. Rossano; T. Roselli","Dept of Computer Science, University of Bari, Bari, Italy; Dept of Computer Science, University of Bari, Bari, Italy; Dept of Computer Science, University of Bari, Bari, Italy; Dept of Computer Science, University of Bari, Bari, Italy","2021 International Conference on Advanced Learning Technologies (ICALT)","2 Aug 2021","2021","","","102","104","Computational Thinking (CT) education is spreading all over the world involving all levels of schools. Software and hardware solutions have been designed and developed to introduce CT at school. In this paper, the first trial of coding activities has been realized using Pepper Social Robot. The idea is to allow pupils to program Pepper; the mission is to guide the robot through a path on a grid sketched on the floor to reach a predefined target. A user test was conducted to evaluate the experience of pupils, in terms of effectiveness, engagement, and cognitive workload in a learning coding activity that involves the social robot Pepper. Pupils appreciated the use of the robot which can interact with them, they were very engaged in the activity and improve their knowledge about coding.","2161-377X","978-1-6654-4106-3","10.1109/ICALT52272.2021.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499862","Coding;Computational Thinking;Social Robot","Education;Encoding;Software;Hardware;Pupils;Robots;Floors","cognition;computer aided instruction;computer science education;educational institutions;humanoid robots;mobile robots;teaching","user test;pupils;learning coding activity;social robot Pepper;primary school;Computational Thinking education;CT;hardware solutions;coding activities;Pepper Social Robot;predefined target","","","","16","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"New Efficiency: Introducing Social Assistive Robots in Social Eldercare Organizations","R. Hasenauer; C. Belviso; I. Ehrenmueller","Department of Marketing, WU University of Economy and Business, Wien, Austria; Department of Marketing, WU University of Economy and Business, Wien, Austria; Department of Health Care Social and Public Management, University of Applied Sciences Upper Austria, Linz, Austria","2019 IEEE International Symposium on Innovation and Entrepreneurship (TEMS-ISIE)","23 Apr 2020","2019","","","1","6","This paper continues to develop the fundamental requirements of a living lab as social experiment on the multistage integration of Social Assistive Robots in an AAL environment with caregiver capacity shortage and elder people living with different physical and mental stages. Starting from the results of a pre-study conducted on 130 dependent living elderly in Austria retirement houses, this paper presents a process-costs-calculation of Social Assistive Robots (SAR) introduction in the process of eldercare (""CareSAR"") and suggests a program to optimize the benefit of these solutions under the aspects of shortage of caregivers, high quality of medical care and ethics.","","978-1-7281-0435-5","10.1109/TEMS-ISIE46312.2019.9074296","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9074296","Social Assistive Robots;Elder Care;Ethics;digitization;new efficiency;artificial intelligence;robotics;ambient assisted living","Robots;Organizations;Medical services;Technological innovation;Entrepreneurship;Retirement;Task analysis","assisted living;control engineering computing;geriatrics;health care;human-robot interaction;medical robotics;patient care","elder people;physical stages;mental stages;social assistive robots;living lab;social experiment;caregiver capacity shortage;social eldercare organizations;CareSAR;Austria retirement houses","","7","","14","IEEE","23 Apr 2020","","","IEEE","IEEE Conferences"
"Social Robot Selection: A Case Study in Education","G. A. Papakostas; A. K. Strolis; F. Panagiotopoulos; C. N. Aitsidis","Human-Machines Interaction Laboratory (HUMAIN-Lab), Eastern Macedonia and Thrace Institute of Technology, Kavala, Greece; Human-Machines Interaction Laboratory (HUMAIN-Lab), Eastern Macedonia and Thrace Institute of Technology, Kavala, Greece; Department of Business Administration, Eastern Macedonia and Thrace Institute of Technology, Kavala, Greece; Department of Business Administration, Eastern Macedonia and Thrace Institute of Technology, Kavala, Greece","2018 26th International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","2 Dec 2018","2018","","","1","4","In this paper the problem of selecting the appropriate social robot in education is being investigated for the first time. The social robot selection task is handled as a multi-criteria decision making problem and solved using the TOPSIS ranking method. Initially, a set of criteria is defined, based on the technical properties and human-interaction capabilities of the social robots. In a second stage some experts quantify a set of alternative social robots according to the predefined criteria and the robots are ranked by applying the TOPSIS method. The preliminary results are very promising and reveal the necessity of selecting the most suitable social robot subject to the educational needs and the technical requirements defined by the end user.","1847-358X","978-9-5329-0087-3","10.23919/SOFTCOM.2018.8555844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8555844","social robots;robot selection;decision making;TOPSIS;multicriteria analysis","Technical requirements;Education;Decision making;Software;Computer networks;Telecommunications;Task analysis","computer aided instruction;decision making;educational robots;human-robot interaction;operations research;TOPSIS","social robot selection task;multicriteria decision making problem;TOPSIS ranking method;human-interaction capabilities;alternative social robots;TOPSIS method;social robot subject;education","","8","","9","","2 Dec 2018","","","IEEE","IEEE Conferences"
"The Robot Screener Will See You Now: A Socially Assistive Robot for COVID-19 Screening in Long-Term Care Homes","C. Getson; G. Nejat","Department of Mechanical and Industrial Engineering, Autonomous Systems and Biomechatronics Lab, University of Toronto, Toronto, Canada; Department of Mechanical and Industrial Engineering, Autonomous Systems and Biomechatronics Lab, University of Toronto, Toronto, Canada","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","672","677","The rapid spread of COVID-19 around the globe has increased the need to adopt autonomous social robots within our healthcare systems. In particular, socially assistive robots can help to improve the day-to-day functioning of our healthcare facilities including long-term care, while keeping residents and staff safe by performing repetitive tasks such as health screening. In this paper, we present the first human-robot interaction study with an autonomous multi-task socially assistive robot used for non-contact screening in long-term care homes. The robot monitors temperature, checks for face masks, and asks screening questions to minimize human-to-human contact. We investigated staff perceptions of 7 attributes: screening experience without and with the robot, efficiency, cognitive attitude, freeing up staff, safety, affective attitude, and intent to use the robot. Furthermore, we investigated the influence of demographics on these attributes. Study results show that, overall, staff rated these attributes high for the screening robot, with a statistically significant increase in cognitive attitude and safety after interacting with the robot. Differences between gender and occupation were also determined. Our study highlights the potential application of an autonomous screening robot for long-term care homes.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900620","Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900620","","COVID-19;Temperature sensors;Temperature measurement;Pandemics;Social robots;Medical services;Assistive robots","assistive robots;cognition;diseases;epidemics;health care;medical robotics;mobile robots;patient monitoring;protective clothing;social robots","human-robot interaction;noncontact screening;long-term care homes;human-to-human contact;cognitive attitude;autonomous screening robot;robot screener;COVID-19 screening;health screening;health care systems;temperature monitoring;health care facilities;autonomous multitask socially assistive robot;face masks;staff perceptions;affective attitude","","2","","32","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Study on Quasi-passive Walking Robot Based on Impulse Thrust","J. Liu; X. Chen; X. Qiu; L. Meng; Z. Yu; Q. Huang","School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; Beijing Advanced Innovation Center for Intelligent Robotics and Systems, Beijing Institute of Technology, Beijing, China; School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Ministry of Education, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Ministry of Education, Beijing, China; Beijing Advanced Innovation Center for Intelligent Robotics and Systems, Beijing Institute of Technology, Beijing, China","2019 IEEE International Conference on Advanced Robotics and its Social Impacts (ARSO)","6 Jan 2020","2019","","","261","264","Based on the passive walking robots, a new quasi-passive walking robot based on impulse thrust is studied. Firstly, we establish a simple quasi-passive walking robot model. The dynamic equation and the transition equation of the simplest two-link model are analyzed by using angular momentum theorem. The existence and stability of the fixed points are analyzed by using Poincare map. Secondly, we use MATLAB to simulate the walking robot, calculate the fixed points of the quasi-passive walking robot, and analyze the stability of the system through the eigenvalue of Jacobian of the linearized map. The feasibility of impulse thrust and telescopic leg is verified.","2162-7576","978-1-7281-3176-4","10.1109/ARSO46408.2019.8948783","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948783","","","eigenvalues and eigenfunctions;legged locomotion;motion control;Poincare mapping;robot dynamics;stability","passive walking robots;quasipassive walking robot model;dynamic equation;transition equation;two-link model;angular momentum theorem;Poincare map;MATLAB;Jacobian;telescopic leg;impulse thrust","","","","14","IEEE","6 Jan 2020","","","IEEE","IEEE Conferences"
"An Intelligent Trash Can Robt for Early Childhood Green Education","S. Mahmud; N. Weber; P. Higgins; J. -H. Kim","Advanced Telerobotics Research Lab, Computer Science, Kent State University, Kent, Ohio, USA; Advanced Telerobotics Research Lab, Computer Science, Kent State University, Kent, Ohio, USA; Advanced Telerobotics Research Lab, Computer Science, Kent State University, Kent, Ohio, USA; Advanced Telerobotics Research Lab, Computer Science, Kent State University, Kent, Ohio, USA","2021 16th International Conference on Computer Science & Education (ICCSE)","21 Oct 2021","2021","","","870","874","Trash is often defined as unwanted materials that are no longer useful and have been thrown away. To make our environment more sustainable, we as a society need to manage trash more efficiently. Sometimes, recyclable materials are thrown in trash cans and they need to be differentiated from actual trash in order to be reused. The utilization of technology, especially an implementation of robot technology, can help humans in this regard. In addition to the environment sector, there is a high demand for robots in other sectors due to the development of new technologies such as artificial intelligence. The robot industry is in urgent need of professional and applied talents. Additionally, recent social development has put forth urgent requirements for progressive robotic education. In order to cultivate innovative talents, enhance students’ practical ability and promote the intelligent development of robots towards a green environment, an educational trash can robot has been developed. It helps to stimulate students’ interest in scientific research, is cultivates innovative talents and promotes the further development of higher technology such as artificial intelligence. This paper describes the proposed methodology for building a trash can robot that can be easily used in high schools, middle schools, and elementary schools alike to promote robotics education as well as green education.","2473-9464","978-1-6654-1468-5","10.1109/ICCSE51940.2021.9569360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569360","Recyclable trash;Object Detection;Voice Control;Robot Vision;Motion Planning;YoloV3","Visualization;Service robots;Educational robots;Green buildings;Education;Object detection;Tools","computer aided instruction;control engineering education;educational institutions;recycling","green environment;educational trash;cultivates innovative talents;higher technology;artificial intelligence;robotics education;intelligent trash;early childhood green education;unwanted materials;recyclable materials;trash cans;actual trash;robot technology;environment sector;robot industry;professional applied talents;recent social development;forth urgent requirements;progressive robotic education;intelligent development","","1","","9","IEEE","21 Oct 2021","","","IEEE","IEEE Conferences"
"Design of an Assistive Robot for Infant Mobility Interventions","A. Vinoo; L. Case; G. R. Zott; J. R. Vora; A. Helmi; S. W. Logan; N. T. Fitter","Collaborative Robotics and Intelligent Systems (CoRIS) Institute, Oregon State University, Corvallis, Oregon, USA; Social Mobility Lab, College of Public Health and Human Sciences, Oregon State University, Corvallis, Oregon, USA; Social Mobility Lab, College of Public Health and Human Sciences, Oregon State University, Corvallis, Oregon, USA; Social Mobility Lab, College of Public Health and Human Sciences, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems (CoRIS) Institute, Oregon State University, Corvallis, Oregon, USA; Social Mobility Lab, College of Public Health and Human Sciences, Oregon State University, Corvallis, Oregon, USA; Collaborative Robotics and Intelligent Systems (CoRIS) Institute, Oregon State University, Corvallis, Oregon, USA","2021 30th IEEE International Conference on Robot & Human Interactive Communication (RO-MAN)","23 Aug 2021","2021","","","604","611","Childhood ambulatory disabilities detract from not only the physical development, but also the social engagement of young children. Commercial mobility aids can help improve the autonomy of children with disabilities, but affordability issues, policy challenges, and uncertainty about training standards limit early use of these devices. In this paper, we build on affordable research-grade mobility aids for young children and consider how to design and evaluate an assistive robot that can support the use of these devices. With young children’s contingency learning abilities in mind, we designed an assistive mobile robot capable of supplying age-appropriate light, sound, and bubble rewards. We conducted a first evaluation of the robot’s ability to support driving practice with N = 5 typically developing infants. The results indicate mixed success of the robot rewards; driving distances uniformly tended to fall over the course of the study, but children did tend to look at the robot. In a second exploratory study involving N = 6 children in free ambulatory play, we see clearer differences in gaze and behavior from the introduction of an assistive robot. Generally, this research can inform others interested in assistive robotic interventions for young children.","1944-9437","978-1-6654-0492-1","10.1109/RO-MAN50785.2021.9515415","National Science Foundation; U.S. Department of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515415","","Training;Uncertainty;Rehabilitation robotics;Mobile robots;Robots;Standards","handicapped aids;human-robot interaction;medical robotics;mobile robots;paediatrics;patient monitoring","affordable research-grade mobility aids;young children;assistive robot;assistive mobile robot;5 typically developing infants;robot rewards;assistive robotic interventions;infant mobility interventions;childhood ambulatory disabilities detract;physical development;social engagement;commercial mobility aids;affordability issues","","5","","31","IEEE","23 Aug 2021","","","IEEE","IEEE Conferences"
"One-dimensional attitude control for BIT flying Robot","T. Zheng; Y. Liu; L. Li; H. Li; M. Ceccarelli","Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Ministry of Education, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Beijing Institute of Technology, Ministry of Education, Beijing, China; University of Rome Torvergata, Lab of Robot Mechatronics, Rome, Italy","2019 IEEE International Conference on Advanced Robotics and its Social Impacts (ARSO)","6 Jan 2020","2019","","","134","140","A flying space spherical robot (SSR) with a maximum diameter of 90mm is designed to assist astronauts in detecting and troubleshooting in small spaces of space stations. Flywheels on three faces of frame are used to generate torque through accelerated rotating motion, so that SSR rotates reversely. In this paper, one-dimensional dynamic model of SSR is presented as referring to a small size design for space applications. Ground experiments simulating zero gravity were carried out to verify the effectiveness of the dynamic model and system operation. Results of lab tests show the feasibility of the BIT flying robot by using the proposed dynamic model for its controlled operation.","2162-7576","978-1-7281-3176-4","10.1109/ARSO46408.2019.8948732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948732","","Analytical models;Torque;Propellers;Dynamics;Flywheels;Robots;Space stations","aerospace robotics;attitude control;flywheels;mobile robots","flying space spherical robot;SSR;accelerated rotating motion;BIT flying robot;controlled operation;one-dimensional attitude control","","","","14","IEEE","6 Jan 2020","","","IEEE","IEEE Conferences"
"Learning Musical Instrument with the Help of Social Robots: Attitudes and Expectations of Teachers and Parents","H. Song; M. Deetman; P. Markopoulos; J. Ham; E. I. Barakova","Department of Industrial Design, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Applied Psychology, Utrecht University, Utrecht, The Netherlands; Department of Industrial Design, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Industrial Design, Eindhoven University of Technology, Eindhoven, The Netherlands","2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","30 Sep 2022","2022","","","351","357","In music education, staying motivated has always been a crucial goal, especially for children. Earlier research has demonstrated how social robots could help improve motivation and increase the performance of children practicing music pieces. As important stakeholders, the attitudes and expec- tations of parents and music teachers are important factors that affect children’s and their own acceptance of applying social robots in music education. In this study, a survey was created and used to assess parents’ and music teachers’ attitudes, expectations, and intentions related to using social robots in music education. The survey results suggested that parents and music teachers expect robots to act as assistive and motivating agents, give positive feedback, and schedule and structure practice sessions. Moreover, parents expect a social robot to evaluate student performance, while music teachers focus more on positive encouragement. The biggest concerns of these stakeholders are whether the robots can convey the emotional aspects of music and demonstrate how to play the instrument. The intention of using robots is positively correlated with positive attitudes towards robots in general and the positive attitude towards robots specifically in the context of music education. The current study contributes insights into parents’ and music teachers’ attitudes and expectations as determinants of their acceptance of of social robots in music education, and provides a method for measuring these attitudes and expectations.","1944-9437","978-1-7281-8859-1","10.1109/RO-MAN53752.2022.9900727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9900727","Social robots for music education;Expectations for social robots;Stakeholders’ attitudes to social robots;Intentions of technology use;TAM","Training;Schedules;Pediatrics;Instruments;Current measurement;Scholarships;Social robots","computer aided instruction;educational robots;human factors;music;musical instruments;social robots;teaching","music education;social robot;music pieces;musical instrument learning;parent expectation;music teacher attitude;assistive agents;motivating agents;positive encouragement;practice session scheduling","","","","28","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"A Social Robot-Based Platform for Prevention of Childhood Obesity","A. Triantafyllidis; A. Alexiadis; D. Elmas; K. Votis; D. Tzovaras","Centre for Research and Technology Hellas (CERTH), Information Technologies Institute, Thessaloniki, Greece; Centre for Research and Technology Hellas (CERTH), Information Technologies Institute, Thessaloniki, Greece; Centre for Research and Technology Hellas (CERTH), Information Technologies Institute, Thessaloniki, Greece; Centre for Research and Technology Hellas (CERTH), Information Technologies Institute, Thessaloniki, Greece; Centre for Research and Technology Hellas (CERTH), Information Technologies Institute, Thessaloniki, Greece","2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE)","27 Dec 2019","2019","","","914","917","Childhood obesity is a major public health concern since it is associated with obesity during adulthood and the occurrence of diseases such as diabetes and cancer. In this paper we present a platform for childhood obesity prevention, which is based on interactive games played between a social robot and the child. The interactions between the robot and the child occur within four distinct stages: a) Familiarization with the robot, b) education and knowledge assessment (e.g., for a balanced diet), c) behavioural data collection & empowerment, and d) personalized goal-setting. The platform was evaluated in terms of usability with 10 participants achieving a System Usability Score (SUS) of 93.8. Overall, our results show the feasibility of the adopted approach and the potential of social robots in playing a major role for promoting healthy behaviours and preventing childhood obesity.","2471-7819","978-1-7281-4617-1","10.1109/BIBE.2019.00171","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8941971","social robot;childhood obesity;robot games;artificial intelligence;child-robot interactions","Robots;Pediatrics;Games;Obesity;Face recognition;Education;Usability","behavioural sciences computing;computer games;diseases;health care;human-robot interaction;interactive systems;mobile computing","social robot-based platform;public health concern;childhood obesity prevention;interactive games;healthy behaviours;personalized goal-setting;system usability score","","4","","13","IEEE","27 Dec 2019","","","IEEE","IEEE Conferences"
"Morphology of socially assistive robots for health and social care: A reflection on 24 months of research with anthropomorphic, zoomorphic and mechanomorphic devices","H. L. Bradwell; R. Winnington; S. Thill; R. B. Jones","EPIC Project, Centre for Health Technology, University of Plymouth, Plymouth, UK; Department of Nursing, Auckland Univ. of Technology, NZ; Donders Centre for Cognition, Radboud Univ., NL; EPIC Project, Centre for Health Technology, University of Plymouth, Plymouth, UK","2021 30th IEEE International Conference on Robot & Human Interactive Communication (RO-MAN)","23 Aug 2021","2021","","","376","383","This paper reflects on four studies completed over the last 24 months, with social robots including Pepper, Paro, Joy for All cats and dogs, Miro, Pleo, Padbot and cheaper toys, including i) focus groups and interviews on suitable robot pet design, ii) surveys on ethical perceptions of robot pets, and iii) recorded interactions between stakeholders and a range of social robots. In total, up to 371 participants’ views were included across the analysed studies. Data was reviewed and mined for relevance to the use and impact of morphology types for social robots in health and social care. Results suggested biomorphic design was preferable over mechanomorphic, and speech and life-simulation features (such as breathing) were well received. Anthropomorphism demonstrated some limitations in evoking fear and task-expectations that were absent for zoomorphic designs. The combination of familiar, zoomorphic appearance with animacy, life-simulation and speech capabilities thus appeared to be an area of research for future robots developed for health and social care.","1944-9437","978-1-6654-0492-1","10.1109/RO-MAN50785.2021.9515446","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9515446","","Cats;Toy manufacturing industry;Morphology;Dogs;Reflection;Emotional responses;Stakeholders","control engineering computing;data mining;ethical aspects;health care;human factors;human-robot interaction;medical robotics;social aspects of automation","speech;biomorphic design;ethical perceptions;data mining;health care;zoomorphic appearance;life-simulation features;task-expectations;anthropomorphism;zoomorphic designs;robot pet design;mechanomorphic devices;zoomorphic devices;anthropomorphic devices;social care;socially assistive robot morphology;time 24.0 month","","3","","30","IEEE","23 Aug 2021","","","IEEE","IEEE Conferences"
"Designing Social Robot for Adults Using Self-Determination Theory and AI Technologies","Y. Lu; C. Chen; P. Chen; S. Yu","Advanced Innovation Center for Future Education, School of Educational Technology, Faculty of Education, Beijing Normal University, Beijing, China; Peking University, Beijing, China; Advanced Innovation Center for Future Education, School of Educational Technology, Faculty of Education, Beijing Normal University, Beijing, China; Advanced Innovation Center for Future Education, School of Educational Technology, Faculty of Education, Beijing Normal University, Beijing, China","IEEE Transactions on Learning Technologies","18 Apr 2023","2023","16","2","206","218","In comparison to children and young students, adult learners usually exhibit more complex learning behaviors and psychological needs during the learning process. Designing social robots for adult learners has, thus, been a challenging task and a far less explored area, and it requires the great efforts from both technical and theoretical perspectives. We, therefore, first propose a novel framework that exploits the latest artificial intelligence (AI) technologies and the established psychological theory for social robot design. Under the proposed framework, we implement a novel social robot and deploy it in the challenging learning context, which demands the robot provide natural interactions and autonomous learning supports to adult learners. The evaluation results show that the robot significantly improves the learners' intrinsic motivation, and the adult learners have also shown great interests in learning and communicating with the robot. This article sheds light on how to design interactive and autonomous social robots for adult learners and contributes a concrete solution that employs the established psychological theories as the design guidelines and the AI models as the enabling technologies.","1939-1382","","10.1109/TLT.2023.3250465","National Natural Science Foundation of China(grant numbers:62077006,62177009); Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10056267","Artificial intelligence;adult learning;social robot;self-determination theory","Social robots;Robots;Education;Psychology;Artificial intelligence;Natural language processing;Design methodology","artificial intelligence;computer aided instruction;human factors;human-robot interaction;learning (artificial intelligence);psychology","adult learners;AI technologies;autonomous learning;autonomous social robots;challenging learning context;complex learning behaviors;established psychological theory;interactive robots;latest artificial intelligence technologies;learning process;social robot design","","","","75","IEEE","28 Feb 2023","","","IEEE","IEEE Journals"
